Source,Target,Type
640,1318,W-B
1318,1401,W-G
245,303,aG-B
245,1351,W-B
303,1351,W-G
245,1361,W-B
303,1361,W-G
35,1315,aG-B
35,904,W-B
904,1315,W-G
35,225,W-B
225,1315,W-G
425,513,aG-B
425,520,W-B
513,520,W-G
122,425,W-B
122,513,W-G
1469,1492,aG-B
1339,1469,W-B
1339,1492,W-G
506,1469,W-B
506,1492,W-G
74,823,aG-B
74,972,W-B
823,972,W-G
74,715,W-B
715,823,W-G
1274,1397,aG-B
840,1397,W-B
840,1274,W-G
1378,1397,W-B
1274,1378,W-G
439,1088,aG-B
934,1088,W-B
439,934,W-G
910,1088,W-B
439,910,W-G
55,437,aG-B
55,497,W-B
437,497,W-G
55,543,W-B
437,543,W-G
261,310,aG-B
310,814,W-G
261,902,W-B
261,1483,W-B
966,1209,aG-B
122,1209,W-G
85,1209,W-G
339,966,W-B
369,966,W-B
46,1252,aG-B
46,1370,W-B
1252,1370,W-G
46,595,W-B
595,1252,W-G
1118,1313,aG-B
665,1118,W-B
1118,1228,W-B
1228,1313,W-G
806,1313,W-G
417,572,aG-B
138,417,W-B
138,572,W-G
417,1264,W-B
572,1264,W-G
31,629,aG-B
370,629,W-B
31,370,W-G
122,629,W-B
31,122,W-G
592,936,aG-B
503,936,W-B
503,592,W-G
936,1003,W-B
592,1003,W-G
1036,1391,aG-B
1391,1454,W-B
1036,1454,W-G
1225,1391,W-B
1036,1225,W-G
443,1389,aG-B
1236,1389,W-B
377,1389,W-B
443,1340,W-G
443,709,W-G
290,1105,aG-B
422,1105,W-B
290,422,W-G
1075,1105,W-B
290,1075,W-G
985,1319,aG-B
7,985,W-B
7,1319,W-G
985,1264,W-B
1264,1319,W-G
271,379,aG-B
271,1373,W-B
379,1373,W-G
271,382,W-B
379,382,W-G
1278,1394,aG-B
1388,1394,W-B
1278,1388,W-G
299,1394,W-B
299,1278,W-G
1025,1474,aG-B
201,1474,W-B
201,1025,W-G
113,1474,W-B
113,1025,W-G
292,459,aG-B
459,1360,W-B
292,1360,W-G
459,728,W-B
292,728,W-G
22,686,aG-B
686,1392,W-B
22,1392,W-G
686,802,W-B
22,802,W-G
627,764,aG-B
503,627,W-B
503,764,W-G
568,627,W-B
568,764,W-G
336,495,aG-B
336,556,W-B
495,556,W-G
336,620,W-B
495,620,W-G
1126,1371,aG-B
163,1126,W-B
163,1371,W-G
1126,1291,W-B
1291,1371,W-G
574,1140,aG-B
329,1140,W-B
329,574,W-G
133,1140,W-B
133,574,W-G
441,912,aG-B
360,912,W-B
360,441,W-G
89,912,W-B
89,441,W-G
273,1312,aG-B
273,763,W-B
763,1312,W-G
273,778,W-B
778,1312,W-G
451,1030,aG-B
451,1350,W-B
1030,1350,W-G
451,1205,W-B
1030,1205,W-G
755,976,aG-B
652,976,W-B
652,755,W-G
976,1295,W-B
755,1295,W-G
170,227,aG-B
227,1243,W-B
170,1243,W-G
227,917,W-B
170,917,W-G
21,1054,aG-B
1054,1350,W-B
21,1350,W-G
519,1054,W-B
21,519,W-G
937,1415,aG-B
141,937,W-B
141,1415,W-G
75,937,W-B
75,1415,W-G
289,975,aG-B
224,975,W-B
224,289,W-G
516,975,W-B
289,516,W-G
830,1465,aG-B
371,1465,W-B
371,830,W-G
572,1465,W-B
572,830,W-G
536,670,aG-B
371,670,W-B
371,536,W-G
670,820,W-B
536,820,W-G
945,1475,aG-B
141,1475,W-B
141,945,W-G
75,1475,W-B
75,945,W-G
358,1093,aG-B
692,1093,W-B
358,692,W-G
572,1093,W-B
358,572,W-G
1249,1477,aG-B
164,1477,W-B
164,1249,W-G
371,1477,W-B
371,1249,W-G
704,1276,aG-B
76,704,W-B
76,1276,W-G
17,704,W-B
17,1276,W-G
398,1001,aG-B
317,398,W-B
317,1001,W-G
185,398,W-B
175,398,W-B
874,1001,W-G
105,1181,aG-B
925,1181,W-B
105,925,W-G
778,1181,W-B
105,778,W-G
135,1102,aG-B
503,1102,W-B
135,503,W-G
1102,1216,W-B
135,1216,W-G
1113,1437,aG-B
157,1113,W-B
426,1113,W-B
1437,1484,W-G
217,1437,W-G
418,717,aG-B
418,528,W-B
528,717,W-G
418,1005,W-B
717,1005,W-G
711,1032,aG-B
711,829,W-B
829,1032,W-G
711,1178,W-B
1032,1178,W-G
144,1117,aG-B
1117,1486,W-B
144,1486,W-G
461,1117,W-B
144,461,W-G
1137,1452,aG-B
411,1137,W-B
411,1452,W-G
851,1137,W-B
851,1452,W-G
482,1158,aG-B
748,1158,W-B
482,748,W-G
1016,1158,W-B
482,1016,W-G
546,980,aG-B
88,980,W-B
88,546,W-G
138,980,W-B
138,546,W-G
269,1007,aG-B
269,1516,W-B
1007,1516,W-G
269,1372,W-B
1007,1372,W-G
479,614,aG-B
585,614,W-B
614,710,W-B
95,479,W-G
479,1232,W-G
347,403,aG-B
403,1380,W-B
347,1380,W-G
403,503,W-B
347,503,W-G
667,1239,aG-B
667,1506,W-B
1239,1506,W-G
667,851,W-B
851,1239,W-G
744,1066,aG-B
1066,1292,W-B
744,1292,W-G
180,1066,W-B
180,744,W-G
835,1441,aG-B
610,835,W-G
216,1441,W-B
216,835,W-G
1053,1441,W-B
835,1053,W-G
685,747,aG-B
685,1018,W-B
747,1018,W-G
685,1049,W-B
747,1049,W-G
551,965,aG-B
173,965,W-B
173,551,W-G
280,965,W-B
280,551,W-G
58,1504,aG-B
58,1153,W-B
1153,1504,W-G
58,1380,W-B
1380,1504,W-G
762,1395,aG-B
1395,1414,W-B
762,1414,W-G
1226,1395,W-B
762,1226,W-G
284,1110,aG-B
594,1110,W-B
284,594,W-G
1068,1110,W-B
284,1068,W-G
1064,1294,aG-B
508,1064,W-B
508,1294,W-G
90,1064,W-B
90,1294,W-G
1175,1254,aG-B
602,1175,W-B
602,1254,W-G
180,1175,W-B
180,1254,W-G
882,1416,aG-B
862,882,W-B
862,1416,W-G
28,882,W-B
28,1416,W-G
297,1520,aG-B
1166,1520,W-B
297,1166,W-G
1056,1520,W-B
297,1056,W-G
759,1128,aG-B
572,1128,W-B
572,759,W-G
371,1128,W-B
371,759,W-G
401,1282,aG-B
401,1050,W-B
1050,1282,W-G
160,401,W-B
160,1282,W-G
969,1277,aG-B
897,969,W-B
897,1277,W-G
25,969,W-B
25,1277,W-G
308,656,aG-B
267,656,W-B
267,308,W-G
264,656,W-B
264,308,W-G
70,724,aG-B
70,769,W-B
724,769,W-G
70,1153,W-B
724,1153,W-G
558,669,aG-B
558,1034,W-G
530,669,W-B
530,558,W-G
664,669,W-B
849,1237,aG-B
528,1237,W-B
528,849,W-G
1237,1367,W-B
849,1367,W-G
471,1143,aG-B
177,1143,W-B
177,471,W-G
471,1438,W-G
1106,1143,W-B
668,1433,aG-B
519,668,W-B
519,1433,W-G
285,668,W-B
285,1433,W-G
316,893,aG-B
893,923,W-B
316,923,W-G
555,893,W-B
316,555,W-G
549,1135,aG-B
876,1135,W-B
549,876,W-G
550,1135,W-B
549,550,W-G
282,1061,aG-B
1061,1296,W-B
327,1061,W-B
181,282,W-G
282,1293,W-G
86,1078,aG-B
1078,1345,W-B
86,1345,W-G
151,1078,W-B
86,151,W-G
639,1420,aG-B
639,1426,W-B
1420,1426,W-G
639,1318,W-B
1318,1420,W-G
542,1306,aG-B
1050,1306,W-B
542,1050,W-G
161,1306,W-B
161,542,W-G
821,1130,aG-B
406,1130,W-B
406,821,W-G
1130,1467,W-B
821,1467,W-G
1161,1226,aG-B
757,1161,W-B
757,1226,W-G
1161,1365,W-B
1226,1365,W-G
148,220,aG-B
220,1223,W-B
148,1223,W-G
148,501,W-G
220,1494,W-B
314,450,aG-B
107,314,W-G
49,801,aG-B
49,954,W-B
49,387,W-B
741,1471,aG-B
503,1471,W-B
503,741,W-G
3,1471,W-B
3,741,W-G
5,982,aG-B
932,982,W-B
5,932,W-G
982,1380,W-B
5,1380,W-G
901,1485,aG-B
582,901,W-B
54,901,W-B
804,1485,W-G
333,1485,W-G
222,716,aG-B
222,838,W-B
716,838,W-G
222,866,W-B
716,866,W-G
1005,1114,aG-B
564,1114,W-B
564,1005,W-G
529,1114,W-B
529,1005,W-G
1060,1355,aG-B
1060,1337,W-B
1337,1355,W-G
466,1060,W-B
466,1355,W-G
34,344,aG-B
34,999,W-B
344,999,W-G
34,515,W-B
344,515,W-G
10302,391,M-E
10497,769,M-E
10330,1295,M-E
10289,1080,M-E
10288,230,M-E
10288,351,M-E
10614,364,M-E
10510,856,M-E
10611,125,M-E
10538,512,M-E
10615,1206,M-E
10209,52,M-E
10960,151,M-E
10486,872,M-E
10611,393,M-E
10611,1361,M-E
10611,1362,M-E
10036,342,M-E
10036,1062,M-E
10510,1380,M-E
10198,64,M-E
10198,1359,M-E
10344,436,M-E
10344,1327,M-E
10758,534,M-E
10413,501,M-E
10744,1210,M-E
10510,214,M-E
10311,1000,M-E
10192,30,M-E
10192,270,M-E
10363,1200,M-E
10365,1241,M-E
10065,80,M-E
10065,223,M-E
10607,519,M-E
10420,1505,M-E
10361,404,M-E
10386,1473,M-E
10085,468,M-E
10517,567,M-E
10786,1038,M-E
10322,1198,M-E
10073,1217,M-E
10287,350,M-E
10653,778,M-E
10480,56,M-E
10401,761,M-E
10473,1006,M-E
10996,154,M-E
10516,238,M-E
10699,243,M-E
10121,562,M-E
10516,596,M-E
10386,108,M-E
10473,112,M-E
10721,1037,M-E
10714,367,M-E
10714,1258,M-E
10901,1269,M-E
10842,1021,M-E
10457,587,M-E
10999,777,M-E
10593,122,M-E
10413,3,M-E
10747,1015,M-E
10747,1182,M-E
10754,928,M-E
10615,660,M-E
10183,1431,M-E
10464,236,M-E
10791,1449,M-E
10960,1511,M-E
10624,26,M-E
10624,1107,M-E
10222,93,M-E
10813,247,M-E
10985,10,M-E
10497,1264,M-E
10315,487,M-E
10902,1134,M-E
10197,1522,M-E
10298,352,M-E
10420,408,M-E
10298,648,M-E
10999,520,M-E
10318,489,M-E
10711,1417,M-E
10464,211,M-E
10150,294,M-E
10263,402,M-E
10594,38,M-E
10594,302,M-E
10928,432,M-E
10410,1330,M-E
10762,582,M-E
10108,742,M-E
10318,386,M-E
10794,1127,M-E
10794,1165,M-E
10794,1383,M-E
10385,196,M-E
10963,948,M-E
10815,580,M-E
10203,865,M-E
10203,892,M-E
10203,1459,M-E
10079,160,M-E
10218,749,M-E
10218,1074,M-E
10937,1048,M-E
10937,1493,M-E
10699,183,M-E
10250,940,M-E
10420,197,M-E
10420,1259,M-E
10736,780,M-E
10486,1408,M-E
10736,1418,M-E
10963,793,M-E
10963,1026,M-E
10744,920,M-E
10015,59,M-E
10722,218,M-E
10409,407,M-E
10722,687,M-E
10763,708,M-E
10250,96,M-E
10409,1002,M-E
10250,1218,M-E
10079,738,M-E
10338,962,M-E
10401,109,M-E
10407,586,M-E
10963,152,M-E
10401,327,M-E
10385,1089,M-E
10763,1250,M-E
10366,671,M-E
10034,619,M-E
10278,1188,M-E
10311,354,M-E
10075,81,M-E
10685,134,M-E
10435,566,M-E
10674,527,M-E
10203,1073,M-E
10365,658,M-E
10518,771,M-E
10518,1099,M-E
10496,873,M-E
10947,1215,M-E
10815,787,M-E
10383,1087,M-E
10233,1321,M-E
10947,176,M-E
10947,415,M-E
10361,713,M-E
10740,781,M-E
10996,1031,M-E
10996,1451,M-E
10995,414,M-E
10995,700,M-E
10600,1244,M-E
10454,1154,M-E
10459,65,M-E
10278,609,M-E
10459,826,M-E
10940,41,M-E
10940,1023,M-E
10838,305,M-E
10711,1116,M-E
10241,1405,M-E
10365,162,M-E
10227,1240,M-E
10662,381,M-E
10425,890,M-E
10940,792,M-E
10123,444,M-E
10041,1309,M-E
10219,478,M-E
10971,795,M-E
10319,435,M-E
10319,490,M-E
10517,1242,M-E
10492,622,M-E
10373,23,M-E
10357,494,M-E
10322,822,M-E
10173,1379,M-E
10677,810,M-E
10555,1265,M-E
10555,1412,M-E
10855,1289,M-E
10092,1033,M-E
10497,419,M-E
10127,995,M-E
10127,1065,M-E
10173,1390,M-E
10150,1399,M-E
10333,1326,M-E
10241,1322,M-E
10684,1344,M-E
10298,232,M-E
10377,299,M-E
10763,1211,M-E
10525,510,M-E
10473,706,M-E
10690,454,M-E
10075,561,M-E
10333,1407,M-E
10310,321,M-E
10339,912,M-E
10810,1350,M-E
10357,755,M-E
10787,141,M-E
10622,1415,M-E
10498,1465,M-E
10338,670,M-E
10303,820,M-E
10679,945,M-E
10684,17,M-E
10459,1181,M-E
10960,1216,M-E
10425,217,M-E
10425,1437,M-E
10684,528,M-E
10435,1005,M-E
10684,829,M-E
10315,1178,M-E
10716,1117,M-E
10784,1486,M-E
10010,851,M-E
10928,1137,M-E
10180,88,M-E
10721,138,M-E
10180,980,M-E
10084,1372,M-E
10241,1516,M-E
10241,95,M-E
10241,479,M-E
10336,403,M-E
10191,667,M-E
10191,1239,M-E
10473,1506,M-E
10197,180,M-E
10690,685,M-E
10413,1153,M-E
10815,1504,M-E
10219,1226,M-E
10607,1414,M-E
10679,284,M-E
10164,1068,M-E
10195,90,M-E
10125,1064,M-E
10195,1294,M-E
10676,882,M-E
10676,1416,M-E
10108,1056,M-E
10798,1128,M-E
10079,1050,M-E
10487,656,M-E
10320,669,M-E
10365,849,M-E
10315,1367,M-E
10121,177,M-E
10740,285,M-E
10740,1433,M-E
10965,555,M-E
10357,893,M-E
10965,923,M-E
10914,549,M-E
10914,1135,M-E
10203,181,M-E
10522,282,M-E
10401,1296,M-E
10123,161,M-E
10855,542,M-E
10684,1467,M-E
10842,1161,M-E
10902,148,M-E
10015,220,M-E
10253,1223,M-E
10102,1494,M-E
10373,107,M-E
10817,801,M-E
10614,982,M-E
10511,333,M-E
10511,804,M-E
10046,222,M-E
10046,838,M-E
10685,529,M-E
10685,1114,M-E
10454,34,M-E
10310,999,M-E
10628,606,M-E
10628,1273,M-E
10487,768,M-E
10662,1111,M-E
10758,1419,M-E
10226,1518,M-E
10226,1222,M-E
10253,1197,M-E
10150,1035,M-E
10263,1079,M-E
10922,288,M-E
10922,1184,M-E
10413,1331,M-E
10223,1507,M-E
10783,1017,M-E
10965,1425,M-E
10340,1261,M-E
10492,1455,M-E
10194,1072,M-E
10815,1450,M-E
10810,1019,M-E
10593,362,M-E
10223,1075,M-E
10971,153,M-E
10971,307,M-E
10971,440,M-E
10971,1461,M-E
10330,394,M-E
10902,695,M-E
10330,753,M-E
10367,234,M-E
10580,337,M-E
10963,1424,M-E
10822,304,M-E
10991,62,M-E
10318,434,M-E
10991,1398,M-E
10901,171,M-E
10310,486,M-E
10310,852,M-E
10366,1086,M-E
10965,1138,M-E
10079,82,M-E
10284,944,M-E
10233,1076,M-E
10377,279,M-E
10798,1160,M-E
10963,1219,M-E
10671,186,M-E
10671,526,M-E
10407,659,M-E
10119,819,M-E
10119,894,M-E
10559,773,M-E
10222,918,M-E
10882,1133,M-E
10140,472,M-E
10140,1472,M-E
10125,1297,M-E
10241,839,M-E
10429,646,M-E
10338,1084,M-E
10677,779,M-E
10250,1196,M-E
10287,483,M-E
10685,1013,M-E
10287,1501,M-E
10176,1358,M-E
10034,268,M-E
10034,1172,M-E
10754,32,M-E
10593,635,M-E
10716,1346,M-E
10377,29,M-E
10420,389,M-E
10261,1323,M-E
10674,1287,M-E
10653,165,M-E
10999,241,M-E
10016,63,M-E
10787,946,M-E
10496,36,M-E
10302,484,M-E
10920,919,M-E
10053,1364,M-E
10498,1410,M-E
10513,1155,M-E
10913,790,M-E
10913,1510,M-E
10339,233,M-E
10940,1481,M-E
10015,433,M-E
10559,680,M-E
10085,1373,M-E
10999,1445,M-E
10188,654,M-E
10188,877,M-E
10073,737,M-E
10041,1055,M-E
10830,1434,M-E
10622,1515,M-E
10830,39,M-E
10200,950,M-E
10084,467,M-E
10273,349,M-E
10261,729,M-E
10176,1070,M-E
10336,446,M-E
10786,383,M-E
10027,78,M-E
10960,373,M-E
10622,1245,M-E
10481,707,M-E
10481,807,M-E
10481,859,M-E
10284,229,M-E
10420,356,M-E
10429,357,M-E
10653,523,M-E
10461,1095,M-E
10289,231,M-E
10363,621,M-E
10366,908,M-E
10574,1042,M-E
10293,1406,M-E
10233,647,M-E
10868,1487,M-E
10817,1058,M-E
10817,1229,M-E
10960,1488,M-E
10461,272,M-E
10041,1267,M-E
10580,209,M-E
10580,1008,M-E
10016,657,M-E
10410,500,M-E
10410,1521,M-E
10762,984,M-E
10940,1290,M-E
10525,880,M-E
10525,1334,M-E
10673,202,M-E
10673,410,M-E
10200,878,M-E
10868,693,M-E
10303,485,M-E
10622,1338,M-E
10026,71,M-E
10026,816,M-E
10233,1479,M-E
10522,1285,M-E
10838,1351,M-E
10538,1170,M-E
10985,699,M-E
10913,833,M-E
10457,72,M-E
10882,338,M-E
10338,655,M-E
10960,947,M-E
10830,142,M-E
10123,378,M-E
10183,591,M-E
10813,690,M-E
10600,123,M-E
10250,193,M-E
10092,956,M-E
10513,117,M-E
10209,907,M-E
10988,254,M-E
10988,375,M-E
10988,949,M-E
10988,989,M-E
10784,1041,M-E
10857,146,M-E
10857,935,M-E
10840,540,M-E
10822,1129,M-E
10709,203,M-E
10709,590,M-E
10592,775,M-E
10592,922,M-E
10996,50,M-E
10445,111,M-E
10164,324,M-E
10960,554,M-E
10791,800,M-E
10960,1298,M-E
10755,139,M-E
10755,983,M-E
10227,1256,M-E
10965,642,M-E
10840,1040,M-E
10907,291,M-E
10907,603,M-E
10920,722,M-E
10367,672,M-E
10271,605,M-E
10237,298,M-E
10407,1152,M-E
10125,192,M-E
10053,332,M-E
10293,565,M-E
10580,518,M-E
10271,593,M-E
10383,673,M-E
10817,538,M-E
10574,828,M-E
10244,604,M-E
10010,733,M-E
10027,189,M-E
10300,662,M-E
10300,871,M-E
10340,823,M-E
10787,934,M-E
10237,310,M-E
10237,1483,M-E
10123,85,M-E
10960,1370,M-E
10303,629,M-E
10244,592,M-E
10882,936,M-E
10600,1225,M-E
10340,1454,M-E
10496,1236,M-E
10496,1389,M-E
10567,290,M-E
10567,1105,M-E
10183,1319,M-E
10445,271,M-E
10960,1025,M-E
10480,1474,M-E
10102,22,M-E
10901,802,M-E
10194,627,M-E
10357,336,M-E
10783,1126,M-E
10273,1291,M-E
10997,329,M-E
10997,1140,M-E
10320,631,M-E
