Source,Target,Type
679,948,W-B
346,948,W-G
196,679,W-B
196,346,W-G
848,1302,aG-B
848,865,W-G
580,848,W-G
892,1302,W-B
1302,1459,W-B
749,1074,aG-B
160,1074,W-B
160,749,W-G
1074,1271,W-B
749,1271,W-G
1048,1493,aG-B
328,1048,W-B
328,1493,W-G
1048,1187,W-B
1187,1493,W-G
250,1348,aG-B
250,1081,W-B
1081,1348,W-G
250,1311,W-B
1311,1348,W-G
453,1453,aG-B
183,1453,W-G
363,1453,W-G
184,453,W-B
453,940,W-B
735,926,aG-B
167,926,W-B
167,735,W-G
3,926,W-B
3,735,W-G
1259,1497,aG-B
259,1497,W-B
259,1259,W-G
197,1497,W-B
197,1259,W-G
879,1408,aG-B
879,1418,W-B
1408,1418,W-G
780,879,W-B
780,1408,W-G
618,721,aG-B
618,1366,W-B
721,1366,W-G
618,1514,W-B
721,1514,W-G
368,1057,aG-B
1026,1057,W-B
368,1026,W-G
793,1057,W-B
368,793,W-G
920,1177,aG-B
920,1375,W-G
920,1280,W-G
581,1177,W-B
1177,1386,W-B
59,407,aG-B
218,407,W-B
59,218,W-G
407,687,W-B
59,687,W-G
190,708,aG-B
503,708,W-B
190,503,W-G
708,726,W-B
190,726,W-G
694,1002,aG-B
96,694,W-B
96,1002,W-G
694,1218,W-B
1002,1218,W-G
962,1354,aG-B
525,962,W-B
525,1354,W-G
738,962,W-B
738,1354,W-G
109,423,aG-B
423,798,W-B
109,798,W-G
423,502,W-B
109,502,W-G
198,1120,aG-B
519,1120,W-B
198,519,W-G
501,1120,W-B
198,501,W-G
586,1104,aG-B
363,1104,W-B
363,586,W-G
281,1104,W-B
281,586,W-G
37,327,aG-B
37,152,W-B
152,327,W-G
37,791,W-B
327,791,W-G
244,1250,aG-B
244,503,W-B
503,1250,W-G
244,1089,W-B
1089,1250,W-G
45,187,aG-B
187,671,W-G
45,388,W-B
45,701,W-B
45,1384,W-B
187,613,W-G
45,914,W-B
619,1162,aG-B
611,1162,W-B
611,619,W-G
1162,1188,W-B
619,1188,W-G
374,678,aG-B
678,1000,W-B
374,1000,W-G
354,678,W-B
354,374,W-G
81,424,aG-B
424,1046,W-B
81,1046,W-G
424,1045,W-B
81,1045,W-G
492,978,aG-B
196,978,W-B
196,492,W-G
978,1189,W-B
492,1189,W-G
252,1428,aG-B
252,1490,W-B
1428,1490,W-G
83,252,W-B
83,1428,W-G
134,429,aG-B
12,429,W-B
12,134,W-G
429,566,W-B
134,566,W-G
450,913,aG-B
155,450,W-B
155,913,W-G
450,1122,W-B
913,1122,W-G
527,1073,aG-B
335,1073,W-B
335,527,W-G
1073,1374,W-B
527,1374,W-G
348,658,aG-B
124,658,W-B
124,348,W-G
658,1369,W-B
348,1369,W-G
287,675,aG-B
675,869,W-B
287,869,W-G
675,1039,W-B
287,1039,W-G
140,915,aG-B
915,1517,W-B
140,1517,W-G
915,1369,W-B
140,1369,W-G
771,1099,aG-B
778,1099,W-B
771,778,W-G
60,1099,W-B
60,771,W-G
873,1083,aG-B
951,1083,W-B
873,951,W-G
1083,1343,W-B
873,1343,W-G
964,1215,aG-B
296,1215,W-G
405,1215,W-G
130,1139,aG-B
1139,1517,W-B
130,1517,W-G
547,1139,W-B
130,547,W-G
464,1085,aG-B
158,1085,W-B
158,464,W-G
787,1085,W-B
464,787,W-G
1087,1321,aG-B
752,1087,W-B
752,1321,W-G
1087,1332,W-B
1321,1332,W-G
970,1320,aG-B
194,970,W-B
194,1320,W-G
970,1283,W-B
1283,1320,W-G
263,322,aG-B
322,415,W-G
176,322,W-G
263,732,W-B
263,584,W-B
723,1171,aG-B
385,1171,W-B
385,723,W-G
20,1171,W-B
20,723,W-G
713,781,aG-B
713,1451,W-B
781,1451,W-G
713,1031,W-B
781,1031,W-G
414,700,aG-B
700,1188,W-B
414,1188,W-G
96,700,W-B
96,414,W-G
1235,1244,aG-B
196,1235,W-B
196,1244,W-G
787,1235,W-B
787,1244,W-G
1052,1154,aG-B
155,1154,W-B
155,1052,W-G
183,1154,W-B
183,1052,W-G
65,826,aG-B
609,826,W-B
65,609,W-G
277,826,W-B
65,277,W-G
101,696,aG-B
520,696,W-B
101,520,W-G
696,777,W-B
101,777,W-G
41,1023,aG-B
41,994,W-B
994,1023,W-G
41,501,W-B
501,1023,W-G
305,1116,aG-B
489,1116,W-B
305,489,W-G
1116,1405,W-B
305,1405,W-G
1304,1377,aG-B
718,1304,W-B
718,1377,W-G
179,1377,W-G
162,228,aG-B
228,386,W-B
162,386,W-G
228,1240,W-B
162,1240,W-G
68,890,aG-B
68,727,W-G
68,1142,W-G
841,890,W-B
381,890,W-B
794,1169,aG-B
861,1169,W-B
794,861,W-G
796,1169,W-B
794,796,W-G
1169,1221,W-B
719,1502,aG-B
905,1502,W-B
1224,1502,W-B
703,719,W-G
719,910,W-G
792,1092,aG-B
1000,1092,W-B
792,1000,W-G
343,1092,W-B
343,792,W-G
444,1309,aG-B
376,444,W-B
376,1309,W-G
444,1352,W-B
1309,1352,W-G
795,1478,aG-B
197,1478,W-B
197,795,W-G
478,1478,W-B
478,795,W-G
684,1242,aG-B
490,684,W-B
490,1242,W-G
435,684,W-B
435,1242,W-G
622,1174,aG-B
797,1174,W-B
622,797,W-G
507,1174,W-B
507,622,W-G
102,1047,aG-B
519,1047,W-B
102,519,W-G
1047,1246,W-B
102,1246,W-G
494,625,aG-B
23,625,W-B
23,494,W-G
625,822,W-B
494,822,W-G
420,1480,aG-B
420,1029,W-B
1029,1480,W-G
420,1325,W-B
1325,1480,W-G
987,1379,aG-B
987,1061,W-B
1061,1379,W-G
386,987,W-B
386,1379,W-G
863,1489,aG-B
320,863,W-G
810,863,W-G
1436,1489,W-B
27,1489,W-B
1125,1227,aG-B
508,1125,W-B
508,1227,W-G
1125,1292,W-B
1227,1292,W-G
436,1103,aG-B
376,1103,W-B
376,436,W-G
1103,1333,W-B
436,1333,W-G
1265,1412,aG-B
1204,1265,W-B
1204,1412,W-G
552,1265,W-B
552,1412,W-G
750,1067,aG-B
1067,1289,W-B
750,1289,W-G
630,1067,W-B
630,750,W-G
16,1033,aG-B
16,808,W-B
808,1033,W-G
16,42,W-B
42,1033,W-G
995,1065,aG-B
419,1065,W-B
419,995,W-G
1065,1363,W-B
995,1363,W-G
265,583,aG-B
265,323,W-B
323,583,W-G
265,809,W-B
583,809,W-G
541,1390,aG-B
1192,1390,W-B
541,1192,W-G
1390,1399,W-B
541,1399,W-G
136,1468,aG-B
1284,1468,W-B
136,1284,W-G
1326,1468,W-B
136,1326,W-G
1119,1322,aG-B
1063,1119,W-B
1063,1322,W-G
1119,1344,W-B
1322,1344,W-G
116,447,aG-B
313,447,W-B
116,313,W-G
447,1446,W-B
116,1446,W-G
232,745,aG-B
232,663,W-B
663,745,W-G
232,1100,W-B
745,1100,W-G
413,524,aG-B
413,1381,W-B
524,1381,W-G
299,413,W-B
299,524,W-G
1123,1211,aG-B
445,1123,W-B
445,1211,W-G
503,1123,W-B
503,1211,W-G
597,1091,aG-B
510,1091,W-B
510,597,W-G
1091,1149,W-B
597,1149,W-G
854,896,aG-B
896,1162,W-B
854,1162,W-G
210,854,W-G
706,896,W-B
311,1498,aG-B
96,1498,W-B
96,311,W-G
1218,1498,W-B
311,1218,W-G
454,1018,aG-B
160,454,W-B
160,1018,W-G
454,1292,W-B
1018,1292,W-G
458,561,aG-B
458,1156,W-B
561,1156,W-G
458,1407,W-B
561,1407,W-G
191,991,aG-B
616,991,W-B
53,191,W-G
191,255,W-G
452,991,W-B
1456,1512,aG-B
1456,1457,W-G
1435,1456,W-G
606,1512,W-B
1273,1512,W-B
768,1111,aG-B
1111,1380,W-B
768,1380,W-G
405,1111,W-B
405,768,W-G
898,1419,aG-B
532,898,W-B
532,1419,W-G
262,898,W-B
262,1419,W-G
666,1518,aG-B
666,1222,W-B
1222,1518,W-G
651,666,W-B
651,1518,W-G
345,448,aG-B
448,1197,W-B
345,1197,W-G
448,1518,W-B
345,1518,W-G
1035,1069,aG-B
677,1069,W-B
677,1035,W-G
1069,1079,W-B
1035,1079,W-G
288,1184,aG-B
3,1184,W-B
3,288,W-G
1184,1331,W-B
288,1331,W-G
1429,1507,aG-B
681,1507,W-B
681,1429,W-G
1148,1507,W-B
1148,1429,W-G
1115,1425,aG-B
941,1115,W-B
941,1425,W-G
1017,1115,W-B
1017,1425,W-G
438,1096,aG-B
1017,1096,W-B
438,1017,W-G
1096,1448,W-B
438,1448,W-G
48,1261,aG-B
48,325,W-B
325,1261,W-G
48,1455,W-B
1261,1455,W-G
1072,1450,aG-B
1072,1186,W-B
1186,1450,W-G
474,1072,W-B
474,1450,W-G
906,1324,aG-B
906,1019,W-B
1019,1324,W-G
560,906,W-B
560,1324,W-G
645,1422,aG-B
645,1010,W-B
1010,1422,W-G
366,645,W-B
366,1422,W-G
362,977,aG-B
519,977,W-B
362,519,W-G
122,977,W-B
122,362,W-G
743,1112,aG-B
1112,1332,W-B
743,1332,W-G
1075,1112,W-B
743,1075,W-G
440,1461,aG-B
307,1461,W-B
307,440,W-G
153,1461,W-B
153,440,W-G
127,695,aG-B
695,753,W-B
127,753,W-G
394,695,W-B
127,394,W-G
234,1413,aG-B
234,371,W-B
371,1413,W-G
234,1212,W-B
1212,1413,W-G
580,715,aG-B
715,787,W-B
580,787,W-G
715,866,W-B
580,866,W-G
337,509,aG-B
337,1011,W-B
509,1011,W-G
337,1424,W-B
509,1424,W-G
463,1132,aG-B
195,1132,W-B
195,463,W-G
1132,1214,W-B
463,1214,W-G
226,304,aG-B
226,1100,W-B
304,1100,W-G
226,1191,W-B
304,1191,W-G
62,1398,aG-B
434,1398,W-B
62,434,W-G
1193,1398,W-B
62,1193,W-G
486,1138,aG-B
171,486,W-G
486,1500,W-G
852,1138,W-B
1086,1138,W-B
149,1071,aG-B
82,1071,W-B
82,149,W-G
1071,1247,W-B
149,1247,W-G
944,1076,aG-B
1075,1076,W-B
944,1075,W-G
1020,1076,W-B
944,1020,W-G
734,968,aG-B
520,968,W-B
520,734,W-G
968,1208,W-B
734,1208,W-G
1160,1268,aG-B
522,1160,W-B
522,1268,W-G
279,1160,W-B
279,1268,W-G
641,1342,aG-B
434,641,W-B
434,1342,W-G
641,1219,W-B
1219,1342,W-G
221,1348,aG-B
221,860,W-B
860,1348,W-G
182,221,W-B
182,1348,W-G
431,491,aG-B
194,431,W-B
194,491,W-G
431,520,W-B
491,520,W-G
150,628,aG-B
186,628,W-B
150,186,W-G
526,628,W-B
150,526,W-G
659,1207,aG-B
659,1197,W-B
1197,1207,W-G
77,659,W-B
77,1207,W-G
480,1470,aG-B
653,1470,W-B
480,653,W-G
1223,1470,W-B
480,1223,W-G
321,900,aG-B
730,900,W-B
321,730,W-G
900,1255,W-B
321,1255,W-G
819,894,aG-B
334,894,W-B
334,819,W-G
575,894,W-B
575,819,W-G
251,918,aG-B
251,773,W-B
773,918,W-G
251,1213,W-B
918,1213,W-G
132,1133,aG-B
503,1133,W-B
132,503,W-G
691,1133,W-B
132,691,W-G
472,1472,aG-B
1402,1472,W-B
472,1402,W-G
1028,1472,W-B
472,1028,W-G
240,1347,aG-B
240,776,W-B
776,1347,W-G
240,1185,W-B
1185,1347,W-G
887,1297,aG-B
887,1017,W-B
1017,1297,W-G
887,1409,W-B
1297,1409,W-G
839,933,aG-B
501,933,W-B
501,839,W-G
499,933,W-B
499,839,W-G
646,1084,aG-B
778,1084,W-B
646,778,W-G
351,1084,W-B
351,646,W-G
683,1012,aG-B
683,1411,W-B
1012,1411,W-G
683,779,W-B
779,1012,W-G
128,958,aG-B
96,958,W-B
96,128,W-G
958,1196,W-B
