ID,Name,Sex,Race,Node_Role,Network,Label,Label2
10928,"Vasquez, Francisco",m,,M,,,
10410,"Hernandez, Mateo",m,,M,,,
10762,"Rojas, Juan",m,,M,,,
10108,"Banuelos, Maria",f,,M,,,
10794,"Salinas, Gonzalo",m,,M,,,
10385,"Gutierrez, Geronimo",m,,M,,,
10963,"Vera, Melchor",m,,M,,,
10815,"Sanchez, Hernan",m,,M,,,
10203,"Castillo, Maria",f,,M,,,
10079,"Armentda, Pedro",m,,M,,,
10218,"Cepeda, Gaspar",m,,M,,,
10937,"Vazquez, Sebastian",m,,M,,,
10250,"Cordero, Juan",m,,M,,,
10736,"Rios, Diego",m,,M,,,
10015,"Aguirre, Andres",m,,M,,,
10722,"Rexie, Antonio",m,,M,,,
10409,"Hernandez, Marcos",m,,M,,,
10763,"Romero, Luis",m,,M,,,
10338,"Garcia, Juan",m,,M,,,
10407,"Hernandez, Francisco",m,,M,,,
10366,"Gonzalez, Maria",f,,M,,,
10034,"Almacan, Pedro",m,,M,,,
10278,"Diaz, Maria",f,,M,,,
10075,"Ariolo, Geronimo",m,,M,,,
10685,"Picasso, Alonzo",m,,M,,,
10435,"Hurtado, Gaspar",m,,M,,,
10674,"Perez, Alonzo",m,,M,,,
10518,"Martin, Eugenio",m,,M,,,
10496,"Lorenzana, Alvaro",m,,M,,,
10947,"Velasco Bantioja, Alvaro",m,,M,,,
10383,"Gutierrez, Andres",m,,M,,,
10233,Colegio de la compania de Jesus,inst,,M,,,
10740,"Rios, Marcos",m,,M,,,
10995,"Zarate, Diego",m,,M,,,
10600,"Nieva, Sebastian",m,,M,,,
10454,"Justiano, Bernardino",m,,M,,,
10459,"Leardo, Ana",f,,M,,,
10940,"Vega, Flugencio",m,,M,,,
10838,"Serrano, Pedro",m,,M,,,
10241,Convento de San Agustin,inst,,M,,,
10227,"Cifuentes, Luis",m,,M,,,
10662,"Pena, Maria",m,,M,,,
10425,"Hidaldo, Sebastian",m,,M,,,
10123,"Barrios, Francisco",m,,M,,,
10041,"Altamirano, Pedro",m,,M,,,
10219,"Cera, Pedro",m,,M,,,
10971,"Villabona, Juan",m,,M,,,
10319,"Franco, X",unk,,M,,,
10492,"Lopez, Pedro",m,,M,,,
10373,"Guerrero, Antonio",m,,M,,,
10357,"Gomez, Sebastian",m,,M,,,
10173,"Carasco, Juan",m,,M,,,
10677,"Perez, Gabriel",m,,M,,,
10555,"Mexica, Juan",m,,M,,,
10855,"Soria, Martin",m,,M,,,
10092,"Astudillo, Lesmes",unk,,M,,,
10127,"Bautista de Avila, Juan",m,,M,,,
10333,"Garces Portillo, Pedro",m,,M,,,
10684,"Picasso y Hinojosa, Alonzo",m,,M,,,
10377,"Guevara, Diego",m,,M,,,
10525,"Martinez, Joseph",m,,M,,,
10690,"Ponce de Leon, Luis",m,,M,,,
10310,"Figueroa, Fernando",m,,M,,,
10339,"Garcia, Pedro",m,,M,,,
10810,"Sanchez de Herrera, Gonzalo",m,,M,,,
10787,"Salcedo, Agustin",m,,M,,,
10622,"Ortega, Juan",m,,M,,,
10498,"Lorenzo, Rodrigo",m,,M,,,
10303,"Faraut, Valentin",m,,M,,,
10679,"Perez, Juan",m,,M,,,
10716,"Real, Marcos",m,,M,,,
10784,"Salazar, Juan",m,,M,,,
10010,"Aguilar, Hernando",m,,M,,,
10180,"Cardenas, Hernando",m,,M,,,
10084,"Arratia, Antonio",m,,M,,,
10336,"Garcia, Diego",m,,M,,,
10191,"Carrion, Pedro",m,,M,,,
10164,"Candatigui, Francisco",m,,M,,,
10195,"Castellanos, Esteban",m,,M,,,
10125,"Barrosos, Mateo",m,,M,,,
10676,"Perez, Cristobal",m,,M,,,
10798,"Salvador Martinez, Juan",m,,M,,,
10487,"Lopez, Francisco",m,,M,,,
10320,"Frias, Cristobal",m,,M,,,
10965,"Vergara, Antonio",m,,M,,,
10914,"Valdez, Francisca",f,,M,,,
10522,"Martin, Juan",m,,M,,,
10253,"Covarrubia, Nicolas",m,,M,,,
10102,"Baez, Sebastian",m,,M,,,
10817,"Sanchez, Pedro",m,,M,,,
10511,"Manzo, Francisco",m,,M,,,
10046,"Alvarez, Juan",m,,M,,,
10628,"Osorio de Castilla, Sebastiana",f,,M,,,
10226,"Chavarria, Francisco",m,,M,,,
10922,"Valmaelda, Francisco",m,,M,,,
10223,"Cetin, Juana",f,,M,,,
10783,"Salazar, Antonio",m,,M,,,
10340,"Garcia, Sebastian",m,,M,,,
10194,"Castelaso, Julian",m,,M,,,
10367,"Gonzalez, Toribio",m,,M,,,
10580,"Morales, Bernardo",m,,M,,,
10822,"Santiago, Felipe",m,,M,,,
10991,"Xlero, Juan",m,,M,,,
10284,"Escobar, Madalena",f,,M,,,
10671,"Perez de Soto, Juan",m,,M,,,
10119,"Barrera, Catalina",f,,M,,,
10559,"Millan, Antonio",m,,M,,,
10882,"Torre, Francisco",m,,M,,,
10140,"Bertis, Juan Francisco",m,,M,,,
10429,Hospital de San Hypolito,inst,,M,,,
10176,"Carbajal, Alonzo",m,,M,,,
10261,"Cuevas, Antonia",f,,M,,,
10016,"Aguirre, Francisco",m,,M,,,
10920,"Valle, Juan",m,,M,,,
10053,"Anas, Antonio",m,,M,,,
10513,"Maria, Ana",f,,M,,,
10913,"Valdez, Clemente",m,,M,,,
10188,"Carrillo, Fernando Alfonzo",m,,M,,,
10830,"Saravia, Eugenio",m,,M,,,
10200,"Castillo, Francisco",m,,M,,,
10273,"Diaz, Esteban",m,,M,,,
10027,"Alcoser, Juan",m,,M,,,
10481,"Lopez, Andres",m,,M,,,
10461,"Leon, Beatriz",f,,M,,,
10574,"Montemayor, Juan",m,,M,,,
10293,"Esquibel Sotomayor, Luis",m,,M,,,
10868,"Tejada, Marcos",m,,M,,,
10673,"Perez Gil, Juan",m,,M,,,
10026,"Alcega, Juan",m,,M,,,
10988,"Vique, Flugencio",m,,M,,,
10857,"Sosa, Fernando",m,,M,,,
10840,"Sierra, Pedro",m,,M,,,
10709,"Ramirez, Alonzo",m,,M,,,
10592,"Narvaez, Gonzalo",m,,M,,,
10445,"Jimenez, Francisco",m,,M,,,
10755,"Rodriguez, Melchor",m,,M,,,
10907,"Urrea, Toribio",m,,M,,,
10271,"Diaz, Antonio",m,,M,,,
10237,"Contreras, Diego",m,,M,,,
10244,Convento de Santa Teresa,inst,,M,,,
10300,"Estrada, Diego",m,,M,,,
10567,"Molina, Juan",m,,M,,,
10997,"Zuniga, Carlos",m,,M,,,
